v1	Is(M1)
Step Information: X=10µ  (Run: 1/5)
0.000000000000000e+000	-1.250292e-010
2.000000000000000e-003	-1.327518e-010
4.000000000000000e-003	-1.409508e-010
6.000000000000000e-003	-1.496557e-010
8.000000000000000e-003	-1.588975e-010
1.000000000000000e-002	-1.687094e-010
1.200000000000000e-002	-1.791263e-010
1.400000000000000e-002	-1.901857e-010
1.600000000000000e-002	-2.019269e-010
1.800000000000000e-002	-2.143920e-010
2.000000000000000e-002	-2.276256e-010
2.200000000000001e-002	-2.416747e-010
2.400000000000001e-002	-2.565897e-010
2.600000000000001e-002	-2.724238e-010
2.800000000000001e-002	-2.892335e-010
3.000000000000001e-002	-3.070787e-010
3.200000000000002e-002	-3.260230e-010
3.400000000000002e-002	-3.461340e-010
3.600000000000002e-002	-3.674834e-010
3.800000000000002e-002	-3.901472e-010
4.000000000000002e-002	-4.142061e-010
4.200000000000002e-002	-4.397457e-010
4.400000000000003e-002	-4.668569e-010
4.600000000000003e-002	-4.956361e-010
4.800000000000003e-002	-5.261857e-010
5.000000000000003e-002	-5.586140e-010
5.200000000000003e-002	-5.930363e-010
5.400000000000003e-002	-6.295749e-010
5.600000000000004e-002	-6.683593e-010
5.800000000000004e-002	-7.095271e-010
6.000000000000004e-002	-7.532241e-010
6.200000000000004e-002	-7.996053e-010
6.400000000000004e-002	-8.488347e-010
6.600000000000005e-002	-9.010866e-010
6.800000000000005e-002	-9.565457e-010
7.000000000000005e-002	-1.015408e-009
7.200000000000005e-002	-1.077882e-009
7.400000000000005e-002	-1.144187e-009
7.600000000000005e-002	-1.214558e-009
7.800000000000006e-002	-1.289242e-009
8.000000000000006e-002	-1.368504e-009
8.200000000000006e-002	-1.452621e-009
8.400000000000006e-002	-1.541890e-009
8.600000000000006e-002	-1.636624e-009
8.800000000000006e-002	-1.737156e-009
9.000000000000007e-002	-1.843839e-009
9.200000000000007e-002	-1.957047e-009
9.400000000000007e-002	-2.077176e-009
9.600000000000007e-002	-2.204648e-009
9.800000000000007e-002	-2.339907e-009
1.000000000000001e-001	-2.483427e-009
