v1	Is(M1)
Step Information: X=10µ  (Run: 1/5)
0.000000000000000e+000	1.454236e-011
2.000000000000000e-003	1.545095e-011
4.000000000000000e-003	1.641625e-011
6.000000000000000e-003	1.744176e-011
8.000000000000000e-003	1.853124e-011
1.000000000000000e-002	1.968869e-011
1.200000000000000e-002	2.091832e-011
1.400000000000000e-002	2.222464e-011
1.600000000000000e-002	2.361242e-011
1.800000000000000e-002	2.508671e-011
2.000000000000000e-002	2.665292e-011
2.200000000000001e-002	2.831676e-011
2.400000000000001e-002	3.008429e-011
2.600000000000001e-002	3.196196e-011
2.800000000000001e-002	3.395664e-011
3.000000000000001e-002	3.607559e-011
3.200000000000002e-002	3.832653e-011
3.400000000000002e-002	4.071766e-011
3.600000000000002e-002	4.325770e-011
3.800000000000002e-002	4.595590e-011
4.000000000000002e-002	4.882207e-011
4.200000000000002e-002	5.186666e-011
4.400000000000003e-002	5.510074e-011
4.600000000000003e-002	5.853605e-011
4.800000000000003e-002	6.218510e-011
5.000000000000003e-002	6.606114e-011
5.200000000000003e-002	7.017826e-011
5.400000000000003e-002	7.455139e-011
5.600000000000004e-002	7.919641e-011
5.800000000000004e-002	8.413017e-011
6.000000000000004e-002	8.937056e-011
6.200000000000004e-002	9.493657e-011
6.400000000000004e-002	1.008484e-010
6.600000000000005e-002	1.071274e-010
6.800000000000005e-002	1.137963e-010
7.000000000000005e-002	1.208792e-010
7.200000000000005e-002	1.284018e-010
7.400000000000005e-002	1.363912e-010
7.600000000000005e-002	1.448763e-010
7.800000000000006e-002	1.538878e-010
8.000000000000006e-002	1.634580e-010
8.200000000000006e-002	1.736216e-010
8.400000000000006e-002	1.844151e-010
8.600000000000006e-002	1.958774e-010
8.800000000000006e-002	2.080498e-010
9.000000000000007e-002	2.209760e-010
9.200000000000007e-002	2.347026e-010
9.400000000000007e-002	2.492787e-010
9.600000000000007e-002	2.647567e-010
9.800000000000007e-002	2.811921e-010
1.000000000000001e-001	2.986438e-010
1.020000000000001e-001	3.171743e-010
1.040000000000001e-001	3.368499e-010
1.060000000000001e-001	3.577409e-010
1.080000000000001e-001	3.799220e-010
1.100000000000001e-001	4.034724e-010
1.120000000000001e-001	4.284759e-010
1.140000000000001e-001	4.550217e-010
1.160000000000001e-001	4.832043e-010
1.180000000000001e-001	5.131238e-010
1.200000000000001e-001	5.448866e-010
1.220000000000001e-001	5.786054e-010
